INFO:root:DCBusPower: 299.8443508514924;DCBusCurrent: 1997.802667317728;DCBusVoltage: 113.34574419385356;
INFO:root:DCBusPower: 299.73905878044314;DCBusCurrent: 1998.4740745262;DCBusVoltage: 241.64555803094575;
INFO:root:DCBusPower: 299.7436366965757;DCBusCurrent: 1998.809778130436;DCBusVoltage: 334.17767876216925;
INFO:root:DCBusPower: 1.5564914850759934;DCBusCurrent: 1999.6642963957638;DCBusVoltage: 331.1868648335215;
INFO:root:DCBusPower: 0.1327595678447171;DCBusCurrent: 1.2512588885158848;DCBusVoltage: 357.67693105868705;
INFO:root:DCBusPower: 300.0;DCBusCurrent: 1999.9084444715718;DCBusVoltage: 367.8090762047181;
INFO:root:DCBusPower: 299.9450650064091;DCBusCurrent: 2000.0305185094758;DCBusVoltage: 367.8395947141941;
INFO:root:DCBusPower: 0.06409082585607032;DCBusCurrent: 1999.5727408673358;DCBusVoltage: 367.9006317331461;
INFO:root:DCBusPower: 299.9954220838674;DCBusCurrent: 1999.2370372630999;DCBusVoltage: 367.8395947141941;
INFO:root:DCBusPower: 0.009155832265152902;DCBusCurrent: 1998.565630054628;DCBusVoltage: 367.8395947141941;
INFO:root:DCBusPower: 299.75737044497345;DCBusCurrent: 1998.32148197882;DCBusVoltage: 203.89416180913722;
INFO:root:DCBusPower: 299.7436366965757;DCBusCurrent: 1998.962370677816;DCBusVoltage: 310.25116733298745;
INFO:root:DCBusPower: 1.9089910272843802;DCBusCurrent: 10.071108127079073;DCBusVoltage: 299.26450392162843;
INFO:root:DCBusPower: 299.84892876762495;DCBusCurrent: 0.640888698995941;DCBusVoltage: 351.20700704977565;
INFO:root:DCBusPower: 299.9587987548068;DCBusCurrent: 1998.870815149388;DCBusVoltage: 367.9616687520981;
INFO:root:DCBusPower: 299.95422083867425;DCBusCurrent: 1998.840296639912;DCBusVoltage: 368.0532242805261;
INFO:root:DCBusPower: 0.004577916132576451;DCBusCurrent: 1998.382518997772;DCBusVoltage: 368.0532242805261;
INFO:root:DCBusPower: 299.9633766709394;DCBusCurrent: 1999.6642963957638;DCBusVoltage: 368.0532242805261;
INFO:root:DCBusPower: 0.0;DCBusCurrent: 0.03051850947599719;DCBusVoltage: 368.0227057710501;
INFO:root:DCBusPower: 299.9084416773485;DCBusCurrent: 0.18311105685598314;DCBusVoltage: 368.0227057710501;
INFO:root:----------------
INFO:root:set power 0
INFO:root:DCBusPower: 299.8031496062992;DCBusCurrent: 1997.741630298776;DCBusVoltage: 129.42899868770408;
INFO:root:DCBusPower: 299.73905878044314;DCBusCurrent: 1998.443556016724;DCBusVoltage: 262.1845149082919;
INFO:root:DCBusPower: 299.7482146127083;DCBusCurrent: 0.21362956633198033;DCBusVoltage: 347.05648976104004;
INFO:root:DCBusPower: 299.9221754257462;DCBusCurrent: 1999.8474074526198;DCBusVoltage: 338.1145664845729;
