date,time,BMU05_CMA_Current,BMU05_CMA_Max_Temp,BMU05_CMA_Min_Temp,BMU05_CMA_Status,BMU05_CMA_Temp1,BMU05_CMA_Temp2,BMU05_CMA_Temp3,BMU05_CMA_Temp4,BMU05_CMA_Temp5,BMU05_CMA_Temp6,BMU05_CMA_Temp7,BMU05_CMA_Voltage,BMU05_CellBalancingStatus,BMU05_Cell_10_Voltage,BMU05_Cell_11_Voltage,BMU05_Cell_12_Voltage,BMU05_Cell_13_Voltage,BMU05_Cell_14_Voltage,BMU05_Cell_1_Voltage,BMU05_Cell_2_Voltage,BMU05_Cell_3_Voltage,BMU05_Cell_4_Voltage,BMU05_Cell_5_Voltage,BMU05_Cell_6_Voltage,BMU05_Cell_7_Voltage,BMU05_Cell_8_Voltage,BMU05_Cell_9_Voltage,BMU05_Charge_Ah_from_BMU,BMU05_Discharge_Ah_from_BMU,BMU05_Max_Cell_Voltage,BMU05_Min_Cell_Voltage,BMU05_SOC,BMU05_SOH,BMU09_CMA_Current,BMU09_CMA_Max_Temp,BMU09_CMA_Min_Temp,BMU09_CMA_Status,BMU09_CMA_Temp1,BMU09_CMA_Temp2,BMU09_CMA_Temp3,BMU09_CMA_Temp4,BMU09_CMA_Temp5,BMU09_CMA_Temp6,BMU09_CMA_Temp7,BMU09_CMA_Voltage,BMU09_CellBalancingStatus,BMU09_Cell_10_Voltage,BMU09_Cell_11_Voltage,BMU09_Cell_12_Voltage,BMU09_Cell_13_Voltage,BMU09_Cell_14_Voltage,BMU09_Cell_1_Voltage,BMU09_Cell_2_Voltage,BMU09_Cell_3_Voltage,BMU09_Cell_4_Voltage,BMU09_Cell_5_Voltage,BMU09_Cell_6_Voltage,BMU09_Cell_7_Voltage,BMU09_Cell_8_Voltage,BMU09_Cell_9_Voltage,BMU09_Charge_Ah_from_BMU,BMU09_Discharge_Ah_from_BMU,BMU09_Max_Cell_Voltage,BMU09_Min_Cell_Voltage,BMU09_SOC,BMU09_SOH,istempHigh,isvolLimited,isCVViolated
10-02-2021,11:50:17,-92.30000000000001,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8492235,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8278804,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:20,-92.30000000000001,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8492509,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8278983,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:23,-92.30000000000001,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8492693,2.72,2.71,100.0,100,-90.2,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8279252,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:25,-92.2,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8492967,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8279520,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:28,-92.30000000000001,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8493242,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8279789,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:31,-92.30000000000001,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8493516,2.72,2.71,100.0,100,-90.2,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8279968,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:34,-92.30000000000001,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8493700,2.72,2.71,100.0,100,-90.2,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8280236,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:36,-92.10000000000001,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8493974,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8280505,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:39,-92.2,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8494249,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8280773,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:42,-92.30000000000001,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8494524,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8280952,2.7300000000000004,2.7,100.0,100,False,True,True
